idNovedades,texto,referencia,estado,f_proceso,usuario,tipo
237,"Se modificó el estado a Resuelto",63799,1,"2018-06-18 20:01:50",8,T
238,"Se modificó el estado a Resuelto",63798,1,"2018-06-18 20:02:21",8,T
239,"Se modificó el estado a Resuelto",63785,1,"2018-06-18 20:04:34",8,T
240,"#Máquina fuera de servicio.",63803,1,"2018-06-20 21:19:05",5,T
241,"#Máquina fuera de servicio.",63804,1,"2018-06-21 08:07:14",8,T
242,"#Máquina fuera de servicio.",63805,1,"2018-06-21 08:07:50",8,T
243,"Driver quemado, pedido",63771,1,"2018-06-21 08:11:01",8,T
244,"Se modificó el estado a Resuelto",63801,1,"2018-06-21 08:11:41",8,T
245,"#Máquina fuera de servicio.",63806,1,"2018-06-24 05:33:38",5,T
246,"#Máquina fuera de servicio.",63807,1,"2018-06-25 03:36:00",5,T
247,"#Máquina fuera de servicio.",63808,1,"2018-06-25 03:36:43",5,T
248,"#Máquina fuera de servicio.",63809,1,"2018-06-25 03:40:37",5,T
249,"#Máquina fuera de servicio.",63810,1,"2018-06-25 03:41:45",5,T
250,"Se modificó el estado a Resuelto",63811,1,"2018-06-26 12:43:03",8,T
251,"Se modificó el estado a Resuelto",63810,1,"2018-06-26 12:43:33",8,T
252,"Se modificó el estado a Resuelto",63808,1,"2018-06-26 12:44:10",8,T
253,"Se modificó el estado a Resuelto",63807,1,"2018-06-26 12:44:35",8,T
254,"Se modificó el estado a Resuelto",63806,1,"2018-06-26 12:44:52",8,T
255,"Se modificó el estado a Resuelto",63805,1,"2018-06-26 12:45:29",8,T
256,"Se modificó el estado a Resuelto",63804,1,"2018-06-26 12:45:48",8,T
257,"Se modificó el estado a Resuelto",63803,1,"2018-06-26 12:46:24",8,T
258,"#Máquina fuera de servicio.",63812,1,"2018-06-26 12:54:38",8,T
259,"#Máquina fuera de servicio.",63813,1,"2018-06-26 23:39:07",5,T
260,"#Máquina fuera de servicio.",63814,1,"2018-06-27 21:34:50",5,T
261,"#Máquina fuera de servicio.",63815,1,"2018-06-27 21:49:24",5,T
262,"#Máquina fuera de servicio.",63816,1,"2018-06-28 21:51:15",5,T
263,"#Máquina fuera de servicio.",63817,1,"2018-06-28 21:52:09",5,T
264,"#Máquina fuera de servicio.",63818,1,"2018-06-29 05:28:32",5,T
265,"Se modificó el estado a CerradoSe modificó el estado a Resuelto",63813,1,"2018-06-29 09:48:52",8,T
266,"Se modificó el estado a Resuelto",63814,1,"2018-06-29 09:49:22",8,T
267,"Se modificó el estado a Resuelto",63815,1,"2018-06-29 09:49:51",8,T
268,"Se envia CF a BCM para que reinstalen el S.O.",63816,1,"2018-06-29 09:50:44",8,T
269,"Se modificó el estado a Resuelto",63818,1,"2018-06-29 14:17:02",8,T
